AL FL 0.001251
AL GA 0.563568
AL MS 0.193298
AL TN 0.808716
AR LA 0.584991
AR MO 0.479858
AR MS 0.350281
AR OK 0.895935
AR TN 0.822815
AR TX 0.746582
AZ CA 0.174103
AZ NM 0.858917
AZ NV 0.710480
AZ UT 0.513519
CA NV 0.303986
CA OR 0.014984
CO KS 0.091400
CO NE 0.364441
CO NM 0.147308
CO OK 0.165894
CO UT 0.988495
CO WY 0.445679
CT MA 0.119080
CT NY 0.004669
CT RI 0.008911
DC MD 0.377869
DC VA 0.531647
DE MD 0.571167
DE NJ 0.601746
DE PA 0.607147
FL GA 0.166229
GA NC 0.663025
GA SC 0.450775
GA TN 0.352112
IA IL 0.057037
IA MN 0.607666
IA MO 0.783295
IA NE 0.802582
IA SD 0.519867
IA WI 0.301941
ID MT 0.875946
ID NV 0.726654
ID OR 0.955872
ID UT 0.925690
ID WA 0.539337
ID WY 0.142334
IL IN 0.462067
IL KY 0.235321
IL MO 0.862213
IL WI 0.209595
IN KY 0.779633
IN MI 0.843628
IN OH 0.996765
KS MO 0.999664
KS NE 0.611481
KS OK 0.392426
KY MO 0.266205
KY OH 0.297272
KY TN 0.840118
KY VA 0.023743
KY WV 0.375854
LA MS 0.092621
LA TX 0.677185
MA NH 0.056213
MA NY 0.008789
MA RI 0.918762
MA VT 0.275879
MD PA 0.272888
MD VA 0.587891
MD WV 0.691162
ME NH 0.837585
MI OH 0.726471
MI WI 0.484924
MN ND 0.205353
MN SD 0.743713
MN WI 0.468445
MO NE 0.457947
MO OK 0.949127
MO TN 0.744415
MS TN 0.108276
MT ND 0.599030
MT SD 0.385223
MT WY 0.734985
NC SC 0.608948
NC TN 0.572388
NC VA 0.361328
ND SD 0.151550
NE SD 0.225098
NE WY 0.425140
NH VT 0.802856
NJ NY 0.517090
NJ PA 0.989960
NM OK 0.751526
NM TX 0.345551
NV OR 0.168976
NV UT 0.657288
NY PA 0.491882
NY VT 0.063538
OH PA 0.699738
OH WV 0.504791
OK TX 0.147491
OR WA 0.949554
PA WV 0.141571
SD WY 0.905090
TN VA 0.692871
UT WY 0.303040
VA WV 0.426544
